iter	Passed	Remaining
0	12	12320
1	22	11427
2	32	10792
3	42	10528
4	51	10282
5	61	10254
6	71	10152
7	81	10057
8	92	10167
9	101	10040
10	111	10015
11	120	9889
12	129	9821
13	137	9707
14	147	9675
15	156	9594
16	165	9566
17	174	9503
18	182	9443
19	192	9446
20	201	9394
21	210	9366
22	218	9297
23	228	9282
24	236	9205
25	244	9169
26	253	9122
27	262	9106
28	271	9081
29	279	9048
30	289	9045
31	300	9093
32	309	9076
33	318	9038
34	327	9025
35	335	8994
36	344	8971
37	353	8941
38	362	8925
39	370	8898
40	381	8916
41	393	8986
42	406	9040
43	416	9058
44	429	9108
45	440	9141
46	450	9144
47	462	9163
48	472	9176
49	486	9234
50	498	9270
51	510	9307
52	522	9331
53	531	9317
54	543	9339
55	558	9417
56	568	9410
57	579	9406
58	591	9435
59	602	9446
60	614	9461
61	624	9448
62	634	9439
63	643	9410
64	652	9391
65	663	9383
66	674	9397
67	685	9396
68	696	9397
69	706	9385
70	716	9374
71	725	9351
72	734	9329
73	742	9293
74	751	9266
75	759	9238
76	767	9205
77	776	9180
78	785	9158
79	793	9121
80	802	9100
81	810	9075
82	819	9059
83	828	9037
84	838	9023
85	846	9000
86	856	8985
87	864	8961
88	873	8942
89	881	8917
90	891	8905
91	899	8881
92	908	8855
93	916	8834
94	925	8820
95	934	8799
96	942	8777
97	951	8761
98	959	8732
99	967	8710
100	977	8701
101	986	8688
102	996	8675
103	1004	8651
104	1013	8639
105	1022	8621
106	1032	8614
107	1040	8592
108	1049	8575
109	1057	8558
110	1066	8544
111	1075	8529
112	1084	8511
113	1092	8491
114	1101	8473
115	1109	8454
116	1117	8434
117	1126	8420
118	1136	8413
119	1144	8394
120	1154	8384
121	1162	8366
122	1172	8356
123	1180	8341
124	1189	8325
125	1198	8314
126	1207	8297
127	1215	8279
128	1224	8269
129	1232	8249
130	1241	8237
131	1251	8230
132	1261	8220
133	1270	8211
134	1280	8202
135	1289	8191
136	1297	8175
137	1307	8165
138	1315	8149
139	1324	8139
140	1332	8120
141	1342	8110
142	1352	8106
143	1364	8109
144	1375	8109
145	1385	8105
146	1396	8103
147	1410	8118
148	1421	8117
149	1431	8111
150	1443	8117
151	1455	8121
152	1467	8125
153	1479	8128
154	1491	8132
155	1502	8129
156	1513	8127
157	1526	8134
158	1538	8140
159	1552	8149
160	1564	8155
161	1576	8155
162	1587	8149
163	1597	8143
164	1606	8129
165	1615	8114
166	1624	8100
167	1634	8093
168	1644	8086
169	1654	8078
170	1665	8072
171	1673	8056
172	1682	8042
173	1690	8026
174	1699	8013
175	1708	7998
176	1717	7985
177	1725	7968
178	1734	7954
179	1743	7942
180	1753	7933
181	1761	7917
182	1770	7902
183	1778	7888
184	1786	7871
185	1795	7856
186	1804	7843
187	1812	7827
188	1821	7815
189	1829	7801
190	1840	7796
191	1849	7783
192	1858	7772
193	1867	7756
194	1875	7743
195	1884	7732
196	1893	7717
197	1901	7704
198	1911	7692
199	1919	7676
200	1927	7662
