iter	Logloss
292	0.2386801945
293	0.238563546
294	0.2383447785
295	0.2379893161
296	0.237866071
297	0.2377062112
298	0.237647261
299	0.2374534559
300	0.2372676226
301	0.2369668792
302	0.2367207611
303	0.2366430523
304	0.2363578551
305	0.2361785887
306	0.2357118708
307	0.2354916021
308	0.2353253786
309	0.2351504772
310	0.2349850331
311	0.2348245127
312	0.2346171845
313	0.2344636804
314	0.2339714117
315	0.2338663965
316	0.2337358214
317	0.2335725406
318	0.2333127496
319	0.2330933592
320	0.2327778521
321	0.2325149099
322	0.232375369
323	0.2322368235
324	0.2320307136
325	0.2317934788
326	0.2316285553
327	0.2314265073
328	0.231237778
329	0.2307828874
330	0.230615102
331	0.2304165832
332	0.2302368564
333	0.2300304306
334	0.2297543888
335	0.229523179
336	0.2293020221
337	0.2290746159
338	0.2288068932
339	0.2285865317
340	0.2282732462
341	0.2281378771
342	0.2280209497
343	0.2277416838
344	0.2276130786
345	0.2274941599
346	0.2273217782
347	0.2271000135
348	0.2269173434
349	0.226698914
350	0.2265383052
351	0.2264131676
352	0.2262542925
353	0.2260650171
354	0.2259177253
355	0.2257475389
356	0.2256189918
357	0.2254377446
358	0.2253368462
359	0.2251994155
360	0.2249028229
361	0.2247473377
362	0.2246345321
363	0.2245478697
364	0.2243761819
365	0.2241892682
366	0.2240613918
367	0.2239532624
368	0.223759718
369	0.2235446754
370	0.2233523328
371	0.223170343
372	0.2228923692
373	0.2227475759
374	0.2225083212
375	0.2222957665
376	0.2221642134
377	0.2220413932
378	0.2219095028
379	0.2216252159
380	0.2215102064
381	0.2212528819
382	0.2210373057
383	0.2208491734
384	0.2206637233
385	0.2205136797
386	0.2203566366
387	0.2200870128
388	0.2197811916
389	0.219557994
390	0.2194332035
391	0.2193175543
392	0.2191893401
393	0.2190420058
394	0.2189093561
395	0.2187192693
396	0.2185789505
397	0.2184160419
398	0.2182946122
399	0.2181109249
400	0.217965973
401	0.2178969061
402	0.2177232626
403	0.2175531148
404	0.2173301268
405	0.217192306
406	0.2170135493
407	0.216891566
408	0.2167328556
409	0.2163367721
410	0.2162264787
411	0.2160211211
412	0.2158348382
413	0.2157148804
414	0.2155767757
415	0.2154657009
416	0.2153447616
417	0.2152424584
418	0.215127051
419	0.2149527601
420	0.2147385326
421	0.2145874273
422	0.2144380023
423	0.2143072802
424	0.2142354014
425	0.2140787052
426	0.2139488793
427	0.2137780019
428	0.213640912
429	0.2134521827
430	0.2133020792
431	0.2131313165
432	0.2128967071
433	0.2128248643
434	0.212688234
435	0.212530032
436	0.2123759768
437	0.2122197831
438	0.2121219655
439	0.2119277582
440	0.2116773724
441	0.2115428607
442	0.2113857608
443	0.2111692998
444	0.2110293308
445	0.210657076
446	0.2104373759
447	0.2103162886
448	0.2101406797
449	0.2099387517
450	0.2098351375
451	0.2097296599
452	0.2095587875
453	0.2094007385
454	0.2092916458
455	0.2091249742
456	0.2089446954
457	0.2088838934
458	0.20872442
459	0.2085481694
460	0.2083681027
461	0.208212351
462	0.208097769
463	0.2079405219
464	0.2078228175
465	0.2076776831
466	0.2074269049
467	0.2073378545
468	0.2072123092
469	0.2070991809
470	0.2069368567
471	0.2068597578
472	0.2066972352
473	0.2065694412
474	0.2064755049
475	0.2062489485
476	0.206139219
477	0.2059564408
478	0.2057697391
479	0.205621052
480	0.2055085832
481	0.205340693
482	0.2052466385
483	0.2051081786
484	0.204945751
485	0.2047940222
486	0.204659873
487	0.2045609068
488	0.2042337043
489	0.2041313528
490	0.2040295703
491	0.2038927222
492	0.203833141
493	0.2037094356
494	0.20362622
495	0.203549769
496	0.2034087228
497	0.203256911
498	0.2031024985
499	0.2030352576
500	0.2029083067
501	0.2028122386
502	0.2027310111
503	0.2025903503
504	0.2024183429
505	0.2023269734
506	0.202249778
507	0.2020655112
508	0.2019811515
509	0.2017646599
510	0.2016806361
511	0.2015740124
512	0.2014313857
513	0.2013218913
514	0.2011927261
515	0.201108531
516	0.2010165283
517	0.2009195012
518	0.2007694983
519	0.2006893049
520	0.2005528589
521	0.2003844115
522	0.2002802727
523	0.2000723764
524	0.199977006
525	0.1998428258
526	0.1997237626
527	0.1995581216
528	0.1994122192
529	0.1992566971
530	0.1991645526
531	0.19908751
532	0.1989880543
533	0.1988454021
534	0.1987407325
535	0.198636704
536	0.1985235596
537	0.1983716124
538	0.1982939376
539	0.1981983772
540	0.1981322011
541	0.1980476787
542	0.1979183509
543	0.1978305927
544	0.1976956948
545	0.1975671361
546	0.1974400258
547	0.1973492315
548	0.1971771463
549	0.1970895819
550	0.1969508071
551	0.1968884107
552	0.1968100324
553	0.1966291558
554	0.1964437377
555	0.1963790528
556	0.1962472709
557	0.1961732883
558	0.1960876564
559	0.1957393817
560	0.1956207117
561	0.1955374072
562	0.1954127126
563	0.1952693264
564	0.1951477793
565	0.1949554083
566	0.1948439897
567	0.1947134875
568	0.1945990311
569	0.1944659399
570	0.1942897455
571	0.1941466181
572	0.1940484585
573	0.1939104124
574	0.1938371414
575	0.1936754556
576	0.1935632727
577	0.1934296526
578	0.1933389013
579	0.1932227013
580	0.1930421332
581	0.1929694267
582	0.1928785387
583	0.1928109529
584	0.1926236239
585	0.1925232402
586	0.1924575966
587	0.1923857089
588	0.1922270016
589	0.1921536211
590	0.1920375756
591	0.1919490783
592	0.1918406022
593	0.191743374
594	0.191631216
595	0.1915559484
596	0.1914436543
597	0.1913366268
598	0.1912643415
599	0.1911030878
600	0.1909728869
601	0.1908351822
602	0.1907255234
603	0.1906436938
604	0.1905647269
605	0.1904858449
606	0.1904216145
607	0.1903194669
608	0.190187342
609	0.1901255461
610	0.1900558743
611	0.1900231748
612	0.1899425128
613	0.1898393399
614	0.1897708043
615	0.1896508926
616	0.1895387076
617	0.1894472826
618	0.1893126679
619	0.1892248507
620	0.189103486
621	0.1889670488
622	0.1888835874
623	0.1887907115
624	0.1886184475
625	0.1884345654
626	0.1883080929
627	0.1882487433
628	0.1881240204
629	0.1879663518
630	0.1878769257
631	0.1878105527
632	0.1877796196
633	0.1876417234
634	0.1875184175
635	0.1874336745
636	0.1873754159
637	0.1873465139
638	0.1871822475
639	0.1870902903
640	0.1870041841
641	0.186941094
642	0.1868120616
643	0.1867333267
644	0.1866221896
645	0.1865089376
646	0.1863739072
647	0.1862407342
648	0.1861206124
649	0.1860491737
650	0.1859702248
651	0.1858178309
652	0.185731953
653	0.1856274816
654	0.1854976686
655	0.1854082319
656	0.1853197238
657	0.1852318948
658	0.1851792959
659	0.1850267628
660	0.1849670795
661	0.1848946329
662	0.1847967157
663	0.1847071807
664	0.1845814499
665	0.1844614801
666	0.1843805745
667	0.1842613996
668	0.1841368001
669	0.183954078
670	0.1837629579
671	0.1836467088
672	0.1835222214
673	0.1834453108
674	0.1833122766
675	0.183193007
676	0.1830786459
677	0.1830164588
678	0.1829443212
679	0.1828451285
680	0.1827374012
681	0.1826899379
682	0.1826131572
683	0.1824804617
684	0.1824189512
685	0.1823251425
686	0.1822290259
687	0.1821409441
688	0.1820266627
689	0.1819278845
690	0.1818040558
691	0.1817314432
692	0.181636578
693	0.1815611486
694	0.1814854795
695	0.1813783553
696	0.1812878329
697	0.1811794467
698	0.1810752315
699	0.180968317
700	0.1808660786
701	0.1807561821
702	0.1806378061
703	0.1805668455
704	0.1804748563
705	0.180387688
706	0.1802429945
707	0.1801644082
708	0.1800951987
709	0.1799741126
710	0.1798966507
711	0.1797678655
712	0.1796858231
713	0.179571
714	0.1794578919
715	0.1792726359
716	0.1791670951
717	0.1791028809
718	0.1789946779
719	0.1789031908
720	0.1786901914
721	0.1786025268
722	0.1784750807
723	0.1784225107
724	0.1782967177
725	0.1782354062
726	0.1781758113
727	0.1780537451
728	0.1779566857
729	0.1779003101
730	0.1778469241
731	0.1778232099
732	0.1777639085
733	0.1777045959
734	0.1776406253
735	0.1775646453
736	0.1774279878
737	0.177266876
738	0.1771287988
739	0.1770046579
740	0.1768810951
741	0.17683345
742	0.1767116477
743	0.1766023635
744	0.1765376025
745	0.1764881589
746	0.1763983881
747	0.1762735046
748	0.1761461329
749	0.176041792
750	0.1759810355
751	0.175922717
752	0.1758264062
753	0.1757324917
754	0.175640344
755	0.1755267262
756	0.1754887876
757	0.1754383313
758	0.1753227953
759	0.1751898335
760	0.1751161016
761	0.175039952
762	0.1749688907
763	0.1748316305
764	0.1747728905
765	0.1747143041
766	0.174613873
767	0.1745477696
768	0.1745015482
769	0.1744459651
770	0.1743770026
771	0.1742662849
772	0.1741943806
773	0.1741229709
774	0.1740593453
775	0.1739839395
776	0.1739448088
777	0.1738651112
778	0.1737776147
779	0.1736793049
780	0.1735789229
781	0.1734785313
782	0.1733532665
783	0.1732878043
784	0.1731003942
785	0.1729972413
786	0.1729061008
787	0.1728024489
788	0.1726077544
789	0.1724900618
790	0.1724189228
791	0.1723440075
792	0.1723122773
793	0.1722676113
794	0.1721865966
795	0.1720766486
796	0.1719779886
797	0.1719310489
798	0.1718201948
799	0.1716942736
800	0.1715657238
801	0.171518995
802	0.1714498794
803	0.1713616189
804	0.1713213101
805	0.1712565127
806	0.1711727093
807	0.1710917921
808	0.1709884901
809	0.1708944545
810	0.1708367253
811	0.1707433465
812	0.1706545798
813	0.1706028823
814	0.1705513128
815	0.1704471374
816	0.1703715114
817	0.1702723264
818	0.1701737553
819	0.1701146015
820	0.1700059227
821	0.1699140203
822	0.1698595386
823	0.1698135509
824	0.1696987959
825	0.1694941004
826	0.1694021384
827	0.1693251759
828	0.1692381008
829	0.169188888
830	0.1690526555
831	0.1690117909
832	0.1688699298
833	0.1687951395
834	0.168749751
835	0.1686198305
836	0.1685315006
837	0.1685157747
838	0.1684513729
839	0.1683360181
840	0.1681784397
841	0.1680253143
842	0.1679906219
843	0.1678582004
844	0.1677779193
845	0.1676481137
846	0.167542866
847	0.167467075
848	0.1673577704
849	0.1672486109
850	0.1671106675
851	0.1669929455
852	0.1669172816
853	0.1668282033
854	0.1667478107
855	0.166673956
856	0.1665714647
857	0.1665522688
858	0.166452346
859	0.166379526
860	0.1663256931
861	0.1662783923
862	0.1662205634
863	0.1661535345
864	0.1660670549
865	0.165980725
866	0.1659023603
867	0.1657995953
868	0.1657447321
869	0.1656627765
870	0.1655407158
871	0.1654711831
872	0.1653728779
873	0.1653036154
874	0.1651143091
875	0.1649921771
876	0.164858757
877	0.1647793914
878	0.164695491
879	0.1646514906
880	0.1645780903
881	0.1644860134
882	0.1644074127
883	0.1642325334
884	0.164134788
885	0.1640637954
886	0.1639540134
887	0.163862917
888	0.1638089199
889	0.163773005
890	0.1636795828
891	0.1636218149
892	0.1635439412
893	0.1634331891
894	0.1633458327
895	0.1633021858
896	0.1632211009
897	0.1631122239
898	0.1630457276
899	0.1629603101
900	0.1628731247
901	0.1627961726
902	0.1626880843
903	0.1626276712
904	0.1625260007
905	0.1624219926
906	0.1622932233
907	0.1622165437
908	0.1621445534
909	0.162036605
910	0.1619538333
911	0.1618685056
912	0.1617467428
913	0.1616329904
914	0.1615646366
915	0.1614737751
916	0.1613747839
917	0.1613165357
918	0.1612331758
919	0.1611518084
920	0.1610819787
921	0.1609990784
922	0.1609181243
923	0.1608624069
924	0.1608120272
925	0.1607867181
926	0.160703168
927	0.1606156167
928	0.1605692656
929	0.1605444431
930	0.1604302064
931	0.1603340648
932	0.1602816971
933	0.1602243275
934	0.1601861441
935	0.1600755879
936	0.1599697364
937	0.159945774
938	0.159907365
939	0.1598077345
940	0.159715493
941	0.1595665536
942	0.1594886274
943	0.1593790989
944	0.1593182049
945	0.15918711
946	0.1590628376
947	0.1589124253
948	0.1588104278
949	0.1586513737
950	0.1585485429
951	0.158456024
952	0.1583786747
953	0.1583306361
954	0.1582927568
955	0.158221185
956	0.1581171813
957	0.1580446834
958	0.1579681113
959	0.157922938
960	0.1578523868
961	0.1577042653
962	0.1576260867
963	0.1575363829
964	0.1575041844
965	0.1574276798
966	0.1573625492
967	0.1573098678
968	0.1572357008
969	0.1571219732
970	0.1570743256
971	0.1569996824
972	0.1569455672
973	0.1568221301
974	0.1567242313
975	0.1566496883
976	0.1565702861
977	0.1564980273
978	0.1564505922
979	0.1563501964
980	0.1562072869
981	0.1560981379
982	0.1559931871
983	0.1559329289
984	0.1557935359
985	0.1557008357
986	0.1556359618
987	0.1555781447
988	0.1554745352
989	0.1553957488
990	0.1553435866
991	0.1552671192
992	0.1551580387
993	0.155111748
994	0.1550704676
995	0.1550153888
996	0.1549535844
997	0.1549078312
998	0.1548307477
999	0.1548050597
