iter	RMSE
350	55.19124778
351	55.12677493
352	55.06671215
353	54.89006732
354	54.80876464
355	54.74958322
356	54.6907772
357	54.6388491
358	54.57745876
359	54.38013168
360	54.08688162
361	54.03258538
362	53.98385778
363	53.55947955
364	53.50746933
365	53.34428316
366	52.98992961
367	52.93109068
368	52.70662779
369	52.66164735
370	52.37198174
371	52.32948181
372	52.27334387
373	52.21794666
374	52.0408086
375	51.98399112
376	51.69324652
377	51.46557198
378	51.36702916
379	51.23554433
380	51.09385324
381	50.87117011
382	50.4689778
383	50.39788779
384	50.33648828
385	50.23051177
386	50.191191
387	50.07323238
388	50.02434144
389	49.78251964
390	49.49471858
391	49.43903113
392	49.37718846
393	49.31938958
394	49.25474557
395	49.01773023
396	48.9694578
397	48.92408018
398	48.6994975
399	48.36444422
400	48.11826257
401	48.06430599
402	47.84557778
403	47.793967
404	47.63858989
405	47.44305908
406	47.39101602
407	47.34061403
408	47.22210569
409	47.17811649
410	47.02247092
411	46.97046579
412	46.71940073
413	46.31707318
414	46.26605728
415	46.12226438
416	46.07805031
417	46.04640691
418	45.98979609
419	45.76570673
420	45.43990995
421	45.40445751
422	45.36331551
423	45.31796573
424	45.27033515
425	44.88371503
426	44.84354234
427	44.80192221
428	44.75563843
429	44.71015368
430	44.67119533
431	44.5585743
432	44.51422439
433	44.47508203
434	44.43207603
435	44.39691045
436	44.36047218
437	44.29064018
438	44.24814826
439	44.21295836
440	43.93424855
441	43.76752484
442	43.72832199
443	43.67938211
444	43.63660215
445	43.59498786
446	43.55307198
447	43.27492286
448	43.07248756
449	43.03041297
450	42.99546676
451	42.87481623
452	42.74988642
453	42.54269573
454	42.43951513
455	42.39876718
456	42.22226531
457	41.88081957
458	41.82859059
459	41.61328759
460	41.58596538
461	41.3975971
462	41.25168866
463	41.00378305
464	40.96312822
465	40.92268796
466	40.88327951
467	40.84787822
468	40.61144013
469	40.50918052
470	40.34563751
471	40.29094684
472	40.15208403
473	40.11448918
474	40.08024183
475	40.05128566
476	39.89829066
477	39.74126138
478	39.58138601
479	39.49381427
480	39.45543458
481	39.42790369
482	39.37794585
483	39.34309104
484	39.2848154
485	39.2482298
486	39.21247376
487	39.1871213
488	38.94929457
489	38.81162363
490	38.70608723
491	38.42368092
492	38.39666691
493	38.35966896
494	38.3238294
495	38.27942756
496	38.24637346
497	38.22097303
498	38.17691434
499	38.14653966
